model,defense,tag,params,clean_mAP50,patched_mAP50,clean_mAP5095,patched_mAP5095,delta_clean_mAP50,delta_patched_mAP50,elapsed_s,det@0001,fp@0001,delta_det@0001,delta_fp@0001,det@03,fp@03,delta_det@03,delta_fp@03,det@05,fp@05,delta_det@05,delta_fp@05,det@07,fp@07,delta_det@07,delta_fp@07
yolov8n,none,none,{},0.7784,0.5863,0.5093,0.3487,0.0,0.0,324.8,63.247,59.57,0.0,0.0,8.833,6.277,0.0,0.0,3.737,1.593,0.0,0.0,1.617,0.09,0.0,0.0
yolov8n,gauss,gauss_sigma4.0,"{""sigma"": 4.0}",0.7107,0.4031,0.4436,0.1967,-0.0677,-0.1832,249.1,43.073,40.493,-20.174,-19.077,1.79,0.457,-7.043,-5.82,1.24,0.23,-2.497,-1.363,0.613,0.07,-1.004,-0.02
yolov8n,median,median_ksize13,"{""ksize"": 13}",0.718,0.4411,0.4373,0.2328,-0.0604,-0.1452,275.1,37.49,34.873,-25.757,-24.697,1.7,0.38,-7.133,-5.897,1.16,0.117,-2.577,-1.476,0.757,0.033,-0.86,-0.057
yolov8n,jpeg,jpeg_quality95,"{""quality"": 95}",0.7755,0.5858,0.5086,0.3438,-0.0029,-0.0005,266.2,62.703,59.047,-0.544,-0.523,9.01,6.443,0.177,0.166,3.723,1.57,-0.014,-0.023,1.62,0.067,0.003,-0.023
yolov8n,bitdepth,bitdepth_bits7,"{""bits"": 7}",0.7785,0.5858,0.5085,0.349,0.0001,-0.0005,307.5,63.163,59.497,-0.084,-0.073,8.85,6.293,0.017,0.016,3.757,1.62,0.02,0.027,1.597,0.087,-0.02,-0.003
yolov8s,none,none,{},0.8747,0.7068,0.6303,0.4286,0.0,0.0,317.3,16.303,12.793,0.0,0.0,4.21,1.247,0.0,0.0,3.543,0.77,0.0,0.0,2.847,0.343,0.0,0.0
yolov8s,gauss,gauss_sigma4.0,"{""sigma"": 4.0}",0.7562,0.4782,0.5077,0.2438,-0.1185,-0.2286,243.9,56.647,53.89,40.344,41.097,3.927,2.163,-0.283,0.916,2.427,0.923,-1.116,0.153,1.54,0.35,-1.307,0.007
yolov8s,median,median_ksize13,"{""ksize"": 13}",0.773,0.5584,0.511,0.2853,-0.1017,-0.1484,274.0,17.97,15.3,1.667,2.507,2.383,0.433,-1.827,-0.814,1.99,0.247,-1.553,-0.523,1.63,0.117,-1.217,-0.226
yolov8s,jpeg,jpeg_quality95,"{""quality"": 95}",0.8741,0.7265,0.631,0.424,-0.0006,0.0197,268.8,17.403,13.86,1.1,1.067,4.397,1.407,0.187,0.16,3.643,0.853,0.1,0.083,2.887,0.35,0.04,0.007
yolov8s,bitdepth,bitdepth_bits7,"{""bits"": 7}",0.8792,0.7094,0.632,0.4285,0.0045,0.0026,311.0,16.237,12.717,-0.066,-0.076,4.22,1.233,0.01,-0.014,3.573,0.77,0.03,0.0,2.837,0.337,-0.01,-0.006
yolov5n,none,none,{},0.8399,0.629,0.569,0.3615,0.0,0.0,316.7,40.7,37.093,0.0,0.0,6.273,3.35,0.0,0.0,3.84,1.227,0.0,0.0,2.343,0.207,0.0,0.0
yolov5n,gauss,gauss_sigma4.0,"{""sigma"": 4.0}",0.755,0.4601,0.4917,0.2046,-0.0849,-0.1689,247.7,45.297,42.377,4.597,5.284,2.65,0.773,-3.623,-2.577,2.01,0.323,-1.83,-0.904,1.353,0.127,-0.99,-0.08
yolov5n,median,median_ksize13,"{""ksize"": 13}",0.7495,0.4979,0.4776,0.2467,-0.0904,-0.1311,277.8,33.61,30.863,-7.09,-6.23,2.44,0.7,-3.833,-2.65,1.703,0.193,-2.137,-1.034,1.193,0.07,-1.15,-0.137
yolov5n,jpeg,jpeg_quality95,"{""quality"": 95}",0.8387,0.6193,0.5663,0.3573,-0.0012,-0.0097,276.6,40.883,37.32,0.183,0.227,6.34,3.423,0.067,0.073,3.967,1.373,0.127,0.146,2.343,0.21,0.0,0.003
yolov5n,bitdepth,bitdepth_bits7,"{""bits"": 7}",0.8384,0.6295,0.5678,0.3632,-0.0015,0.0005,311.2,40.757,37.16,0.057,0.067,6.247,3.327,-0.026,-0.023,3.843,1.237,0.003,0.01,2.357,0.21,0.014,0.003
