Scenario,Det/img@0.001_C,Det/img@0.001_P,FP/img@0.001_C,FP/img@0.001_P,Det/img@0.3_C,Det/img@0.3_P,FP/img@0.3_C,FP/img@0.3_P,Det/img@0.5_C,Det/img@0.5_P,FP/img@0.5_C,FP/img@0.5_P,Det/img@0.7_C,Det/img@0.7_P,FP/img@0.7_C,FP/img@0.7_P
billboard01,20.72,69.04,17.5,66.86,3.42,25.48,0.48,23.52,3.04,16.3,0.28,14.54,2.14,5.96,0.1,4.58
billboard02,21.3,69.62,16.6,65.14,4.72,21.0,0.62,17.32,4.08,11.44,0.42,8.24,2.12,3.94,0.2,2.76
billboard03,17.58,65.3,15.06,62.96,2.3,20.5,0.24,18.64,2.0,12.04,0.1,10.38,1.5,5.04,0.04,3.72
billboard04,14.1,61.24,12.28,59.68,1.98,20.64,0.38,19.34,1.58,9.66,0.14,8.5,0.98,2.98,0.04,2.14
billboard05,20.42,69.02,16.9,65.98,3.56,26.3,0.36,24.16,2.98,16.36,0.18,14.4,2.2,5.42,0.16,3.9
billboard06,21.32,66.58,16.98,62.66,4.48,25.44,0.52,22.64,3.74,14.08,0.18,11.72,2.82,5.84,0.06,4.18
billboard07,33.74,75.78,26.52,70.46,7.82,21.72,1.24,17.92,5.98,11.76,0.66,8.5,4.56,4.82,0.32,2.46
billboard08,20.6,66.06,19.5,65.08,1.0,16.12,0.12,15.24,0.88,6.7,0.06,5.84,0.82,2.02,0.04,1.28
billboard09,52.94,92.04,46.32,85.58,5.78,26.18,0.96,21.96,4.16,17.56,0.28,14.3,3.14,7.22,0.12,4.94
